"priority","key","english","portuguese","do_not_translate","notes"
"5","sat.refresh.mirrorUnreachableCurrent","The element mirror isn't reachable (it goes live with the next release); your elements are {{age}} d old — current.","","{{age}}",""
"5","sat.refresh.mirrorUnreachableStale","The element mirror is unreachable and your elements are {{days}} d old — import a fresh element file or retry later.","","{{days}}",""
"5","sat.refresh.mirrorUnreachableEmpty","The element mirror is unreachable and no usable elements are cached — import an element file to get the satellite surfaces running.","","",""
"5","sat.refresh.failed","Element update failed — no source delivered a usable set; retry shortly or import an element file.","","",""
"5","sat.passAlert.rotorLost","🛰 {{name}}: the rotator stopped answering — point it yourself. The pass, the transponder and Doppler keep running.","","{{name}} | Doppler",""
"5","sat.passAlert.inProgress","🛰 {{name}} pass in progress — {{mins}} min left, max el {{maxEl}}°","","{{name}} | {{mins}} | {{maxEl}}",""
"5","sat.passAlert.aos","🛰 AOS {{name}} — point {{az}}°, max el {{maxEl}}°, {{mins}} min pass","","{{name}} | {{az}} | {{maxEl}} | {{mins}} | AOS",""
"5","sat.passAlert.los","🛰 {{name}} pass complete — LOS.","","{{name}} | LOS",""
"5","sat.passAlert.los.dial","Dial handed back.","","",""
"5","sat.passAlert.los.split","Uplink split released.","","",""
"5","sat.passAlert.los.rotorPark","Rotor parking.","","",""
"5","sat.passAlert.los.rotorReady","Rotor moving to the ready position.","","",""
"5","sat.passesPane.noElements","No orbital elements yet — satellite data loads once online.","","",""
"5","sat.passesPane.noPasses","No passes over your QTH in the next 24 h (set your grid in Settings?).","","QTH",""
"5","sat.passesPane.line","Next: {{name}} {{when}}, max {{maxEl}}° {{aos}}→{{los}}.","","{{name}} | {{when}} | {{maxEl}} | {{aos}} | {{los}}",""
"5","sat.passesPane.now","now","","","Short label on: Satellites view. The same English text ""now"" is used by 4 different keys (e.g. roster.card.heard.now, operate.roster.age.now, waterfall.paused.now) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.passesPane.inMins","in {{mins}} min","","{{mins}}","Short label on: Satellites view. The same English text ""in {{mins}} min"" is used by 2 different keys (e.g. sat.countdown.mins) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.passesPane.favFilter.aria","Filter to ★ birds","","",""
"5","sat.passesPane.favFilter.on","Showing your ★ birds (map + globe follow) — click to show all satellites","","",""
"5","sat.passesPane.favFilter.off","Showing all satellites — click to show only your ★ birds (map + globe follow)","","",""
"5","sat.passesPane.favFilter.all","All","","","Short label on: Satellites view. The same English text ""All"" is used by 9 different keys (e.g. roster.filter.all, needed.filter.all, map.sats.filter.all) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.passesPane.stale.title","Orbital elements decay; pass times drift as they age","","",""
"5","sat.passesPane.stale","stale elements ({{days}} d) — times are approximate","","{{days}}",""
"5","sat.passesPane.mostlyStale.title","The typical bird in your catalog is still current, so the times below are good for it — but most of the set is past the 14-day line, or held back past 30 days. Refresh elements from the Satellites section.","","",""
"5","sat.passesPane.mostlyStale","{{label}} — most times are approximate","","{{label}}",""
"5","sat.passesPane.favEmpty","No passes for your ★ birds in the next 24 h.","","",""
"5","sat.passesPane.chase.on","Chasing — sorts first, footprint ring on the map. Click to stop.","","",""
"5","sat.passesPane.chase.off","Chase this bird — sort its passes first + draw its footprint on the map","","",""
"5","sat.passesPane.peakEl.title","Peak elevation {{el}}° — higher = longer, stronger pass","","{{el}}",""
"5","sat.passesPane.arc.title","Rise → set compass directions","","",""
"5","sat.passesPane.duration","{{mins}} min","","{{mins}}","Short label on: Satellites view. The same English text ""{{mins}} min"" is used by 3 different keys (e.g. dxped.alarm.lead.option, aprs.card.age.mins) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.head.title","Satellites","","","Short label on: Satellites view. The same English text ""Satellites"" is used by 4 different keys (e.g. globe.layer.sats, nav.sats.label, features.sats.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.head.sub","passes over your grid","","",""
"5","sat.head.bands.title","Elements past the 14-day line still fly the pass, with drifting times; elements past 30 days are not used at all — each of those birds is listed, with its reason, in the Birds list.","","",""
"5","sat.head.stale.title","Orbital elements are {{days}} days old — pass times and Doppler drift with element age. Click to refresh now; they also refresh automatically every 6 h when the network allows.","","{{days}} | Doppler",""
"5","sat.head.stale.chip","TLE {{days}} days — STALE","","{{days}} | TLE",""
"5","sat.head.stale.refreshing","· refreshing…","","",""
"5","sat.head.stale.refresh","· refresh","","",""
"5","sat.head.quiet.title","Orbital elements are {{days}} days old (the median of the {{sets}} sets in use). They refresh automatically every 6 h when the network allows; click to refresh now.","","{{days}} | {{sets}}",""
"5","sat.head.quiet.titleEmpty","No usable orbital elements are cached. Click to fetch them now; you can also import a file under Settings ▸ Radio ▸ Orbital elements.","","",""
"5","sat.head.quiet.refreshing","⟳ refreshing…","","",""
"5","sat.head.quiet.refresh","⟳ refresh elements","","",""
"5","sat.head.popOut.title","Open in its own window","","",""
"5","sat.head.seed.notice","Starred {{count}} active birds to get you started — change them any time with the ★ beside any bird.","","{{count}}",""
"5","sat.head.seed.dismiss.aria","Dismiss the starred-birds notice","","",""
"5","sat.head.seed.dismiss.title","Dismiss — your ★ birds stay exactly as they are","","",""
"5","sat.quality.overhead","overhead pass","","",""
"5","sat.quality.high","high pass","","",""
"5","sat.quality.workable","workable pass","","",""
"5","sat.quality.low","low horizon pass","","",""
"5","sat.countdown.now","NOW","","","Abbreviation shown on: Satellites view. Check the screen before expanding or translating it."
"5","sat.countdown.mins","in {{mins}} min","","{{mins}}","Short label on: Satellites view. The same English text ""in {{mins}} min"" is used by 2 different keys (e.g. sat.passesPane.inMins) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.countdown.hours","in {{hours}} h","","{{hours}}",""
"5","sat.state.inPass","IN PASS — {{mins}} min to LOS","","{{mins}} | LOS",""
"5","sat.state.prepositioning","slewing to the AOS azimuth","","AOS",""
"5","sat.why","{{when}} — {{el}}° {{quality}}, {{dur}} min, {{aos}}→{{los}}{{status}}","","{{when}} | {{el}} | {{quality}} | {{dur}} | {{aos}} | {{los}} | {{status}}",""
"5","sat.why.alreadyUp","already up","","",""
"5","sat.why.alive"," · reported alive (SatNOGS)","","SatNOGS",""
"5","sat.why.reported"," · reported {{status}} (SatNOGS)","","{{status}} | SatNOGS",""
"5","sat.earn.entities.title::one","{{count}} never-worked entity reachable through this pass's footprint: {{names}}{{more}}","","{{count}} | {{names}} | {{more}}","Plural form ""one"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"5","sat.earn.entities.title::other","{{count}} never-worked entities reachable through this pass's footprint: {{names}}{{more}}","","{{count}} | {{names}} | {{more}}","Plural form ""other"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"5","sat.earn.grids.title::one","{{count}} new Satellite VUCC grid reachable through this pass's footprint: {{grids}}{{more}}","","{{count}} | {{grids}} | {{more}} | VUCC","Plural form ""one"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"5","sat.earn.grids.title::other","{{count}} new Satellite VUCC grids reachable through this pass's footprint: {{grids}}{{more}}","","{{count}} | {{grids}} | {{more}} | VUCC","Plural form ""other"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"5","sat.earn.more"," +{{count}} more","","{{count}}",""
"5","sat.dome.aria.bird","Sky dome for {{name}}, north up. Satellite at azimuth {{az}} degrees, elevation {{el}} degrees.","","{{name}} | {{az}} | {{el}}",""
"5","sat.dome.aria.track","Sky dome for {{name}}, north up. Pass track from azimuth {{aos}} to {{los}} degrees, maximum elevation {{maxEl}} degrees.","","{{name}} | {{aos}} | {{los}} | {{maxEl}}",""
"5","sat.dome.aos.title","AOS — rises at {{az}} ({{wind}}) {{time}}","","{{az}} | {{wind}} | {{time}} | AOS",""
"5","sat.dome.los.title","LOS — sets at {{az}} ({{wind}}) {{time}}","","{{az}} | {{wind}} | {{time}} | LOS",""
"5","sat.dome.ghost.title","Antenna: commanded az/el (not a rotator read-back)","","",""
"5","sat.dome.ghost.azOnly.title","Antenna: azimuth {{az}} commanded — az-only rotator, no elevation sent","","{{az}}",""
"5","sat.dome.bird.title","{{name}} — az {{az}} el {{el}}","","{{name}} | {{az}} | {{el}}",""
"5","sat.dome.azEl","az {{az}} el {{el}}","","{{az}} | {{el}}",""
"5","sat.dome.antenna.noCommand","armed — no rotor command sent yet","","",""
"5","sat.dome.antenna.azOnly","az {{az}} · elevation not commanded (az-only rotator)","","{{az}}",""
"5","sat.dome.readout.satellite","Satellite","","","Short label on: Satellites view. The same English text ""Satellite"" is used by 3 different keys (e.g. memories.kind.satellite, settings.routing.rule.satellite) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.dome.readout.range","Range","","","One-word control on: Satellites view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"5","sat.dome.readout.range.title","Slant range — how far the bird is FROM YOU.","","",""
"5","sat.dome.readout.km","{{km}} km","","{{km}}","Short label on: Satellites view. The same English text ""{{km}} km"" is used by 2 different keys (e.g. globe.pass.range) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.dome.readout.rangeRate"," · {{rate}} km/s {{trend}}","","{{rate}} | {{trend}}",""
"5","sat.dome.readout.closing","closing","","","One-word control on: Satellites view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"5","sat.dome.readout.opening","opening","","","Short label on: Satellites view. The same English text ""opening"" is used by 2 different keys (e.g. map.legend.opening) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.dome.readout.altitude","Altitude","","","One-word control on: Satellites view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"5","sat.dome.readout.altitude.title","Altitude — how far above the earth the bird is. Not range (its distance from you).","","",""
"5","sat.dome.readout.antenna","Antenna","","","One-word control on: Satellites view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"5","sat.dome.readout.antenna.title","What the rotator was COMMANDED — not a read-back. Δ is the true angular gap to the bird.","","",""
"5","sat.dome.readout.riseSet","Rise / set","","",""
"5","sat.timeline.aos","AOS {{time}}","","{{time}} | AOS",""
"5","sat.timeline.los","LOS {{time}}","","{{time}} | LOS",""
"5","sat.timeline.peak","{{tca}}max {{maxEl}}°","","{{tca}} | {{maxEl}}",""
"5","sat.timeline.tca","TCA {{time}} · ","","{{time}}",""
"5","sat.timeline.nextPass","next pass {{countdown}}","","{{countdown}}",""
"5","sat.doppler.head","Doppler","","Doppler","Short label on: Satellites view. The same English text ""Doppler"" is used by 2 different keys (e.g. sat.rail.gate.doppler) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.doppler.none.off","Doppler is off — nothing is being tuned (Settings ▸ Radio ▸ Satellite Doppler).","","Doppler",""
"5","sat.doppler.none.pickConfirm","No transponder selected — pick one below; once your mapping is confirmed for this radio, Doppler tunes your uplink and the dial stays yours.","","Doppler",""
"5","sat.doppler.none.pickUplink","No transponder selected — pick one below and Doppler tunes your uplink; the dial stays yours.","","Doppler",""
"5","sat.doppler.none.pick","No transponder selected — pick one below to put the dial under Doppler.","","Doppler",""
"5","sat.doppler.none.unconfirmed","Your uplink-only mapping is not confirmed for this radio — nothing is being tuned.","","",""
"5","sat.doppler.none.beforeAos","Doppler corrects from AOS — nothing to correct until the bird is up.","","Doppler | AOS",""
"5","sat.doppler.none.noTuning","Doppler has not reported a tuning for this pass yet.","","Doppler",""
"5","sat.uplinkOnly.noLeg","Your uplink-only mapping has nothing to drive here — this bird has no separate uplink. Nothing is being tuned.","","",""
"5","sat.leg.downlink","↓ Downlink","","",""
"5","sat.leg.uplink","↑ Uplink","","",""
"5","sat.doppler.txMode.title","The TX (split) VFO's sideband — this bird's uplink runs {{mode}} while the downlink does not, and the radio's TX leg is set to match. Commanded by the engine with the Doppler tuning; shown here so a swapped sideband is never a surprise.","","{{mode}} | Doppler | VFO | TX",""
"5","sat.inverting.label","INVERTING","","","One-word control on: Satellites view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"5","sat.inverting.title","Inverting linear transponder: tune the downlink UP and your uplink goes DOWN, and the sidebands swap (LSB up, USB down).","","LSB | USB",""
"5","sat.passband.head","Passband","","","Short label on: Satellites view. The same English text ""Passband"" is used by 2 different keys (e.g. phone.scope.audio.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.passband.inverting","inverting — tune up, transmit down","","",""
"5","sat.passband.nonInverting","non-inverting — both legs move the same way","","",""
"5","sat.passband.inverting.word","inverting","","","One-word control on: Satellites view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"5","sat.passband.nonInverting.word","non-inverting","","","One-word control on: Satellites view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"5","sat.passband.aria","Transponder passband, {{mode}}, ±{{half}} kHz either side of centre. Downlink {{down}} from centre, uplink {{up}} from centre.","","{{mode}} | {{half}} | {{down}} | {{up}} | kHz",""
"5","sat.passband.lane.downlink","Downlink","","","One-word control on: Satellites view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"5","sat.passband.lane.uplink","Uplink","","","One-word control on: Satellites view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"5","sat.passband.mark.title","{{glyph}} {{leg}}{{freq}} — offset {{offset}} from passband centre{{clamped}}","","{{glyph}} | {{leg}} | {{freq}} | {{offset}} | {{clamped}}",""
"5","sat.passband.mark.freq"," — {{hz}} Hz","","{{hz}} | Hz",""
"5","sat.passband.mark.clamped"," (outside the passband — the mark is parked on the edge)","","",""
"5","sat.passband.axis.title","kHz from passband centre","","kHz",""
"5","sat.passband.noWidth","No passband to tune inside — this is a single channel, or SatNOGS carries no width for it. There is no axis to draw; the offsets below are still exact.","","SatNOGS",""
"5","sat.passband.readout.doppler","Doppler {{shift}}","","{{shift}} | Doppler",""
"5","sat.passband.readout.offset","offset {{offset}}","","{{offset}}",""
"5","sat.passband.readout.width","±{{half}} kHz from centre","","{{half}} | kHz",""
"5","sat.kind.beacon","beacon","","","One-word control on: Satellites view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"5","sat.kind.linear","linear","","","One-word control on: Satellites view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"5","sat.kind.fmRepeater","FM repeater","","FM",""
"5","sat.rail.gate.pass","Pass","","","One-word control on: Satellites view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"5","sat.rail.gate.rotor","Rotor","","","Short label on: Satellites view. The same English text ""Rotor"" is used by 2 different keys (e.g. connect.pane.rotor.title) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.rail.gate.transponder","Transponder","","","Short label on: Satellites view. The same English text ""Transponder"" is used by 2 different keys (e.g. sat.transponder.head) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.rail.gate.doppler","Doppler","","Doppler","Short label on: Satellites view. The same English text ""Doppler"" is used by 2 different keys (e.g. sat.doppler.head) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.rail.gate.elements","Elements","","","One-word control on: Satellites view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"5","sat.rail.pass.armedIn","armed — AOS in {{mins}} min","","{{mins}} | AOS",""
"5","sat.rail.pass.armed","armed","","","Short label on: Satellites view. The same English text ""armed"" is used by 2 different keys (e.g. sat.badge.armed) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.rail.stop.title","Stop this track (rotor halts if it holds one; the dial is handed back)","","",""
"5","sat.rail.rotor.lost","stopped answering — pointing is yours; the pass, Doppler and your transponder keep running","","Doppler",""
"5","sat.rail.rotor.notInTrack","not in this track — re-arm to take the rotor","","",""
"5","sat.rail.rotor.none","no rotator configured — Settings ▸ Radio ▸ Rotator","","",""
"5","sat.rail.rotor.tracking","tracking · cmd az {{az}}{{el}}","","{{az}} | {{el}}",""
"5","sat.rail.rotor.azOnly"," (az only)","","",""
"5","sat.rail.rotor.armed","armed — takes the rotor 5 min before AOS","","AOS",""
"5","sat.rail.transponder.none","none — the dial stays yours","","",""
"5","sat.rail.transponder.auto"," picked for you","","",""
"5","sat.rail.transponder.change","change","","","One-word control on: Satellites view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"5","sat.rail.transponder.pick","pick","","","One-word control on: Satellites view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"5","sat.rail.transponder.goTo","Go to the transponder chooser below","","",""
"5","sat.rail.transponder.nothingToPick","No transmitters listed for this bird (SatNOGS) — nothing to pick","","SatNOGS",""
"5","sat.rail.doppler.off","off — nothing is being tuned","","",""
"5","sat.rail.doppler.waitingConfirm","waiting for a transponder — once your mapping is confirmed for this radio, Doppler tunes your uplink; the dial stays yours","","Doppler",""
"5","sat.rail.doppler.waitingUplink","waiting for a transponder — then Doppler tunes your uplink; the dial stays yours","","Doppler",""
"5","sat.rail.doppler.waiting","waiting for a transponder — then the downlink follows the bird","","",""
"5","sat.rail.doppler.simplex","on — one channel: both legs ride the same dial","","",""
"5","sat.rail.doppler.simplexUplinkOnly","one channel and an uplink-only mapping — nothing is being tuned; the dial stays yours","","",""
"5","sat.rail.doppler.both","correcting the downlink and the uplink","","",""
"5","sat.rail.doppler.downlink","correcting the downlink. {{next}}","","{{next}}",""
"5","sat.rail.doppler.uplink","correcting the uplink — the dial stays yours","","",""
"5","sat.rail.doppler.uplinkOnly","uplink-only mapping, nothing is being tuned. {{next}}","","{{next}}",""
"5","sat.rail.doppler.yourRadio","your radio","","",""
"5","sat.rail.uplink.confirm","Confirm the uplink and Doppler drives {{rig}} as {{pair}}.","","{{rig}} | {{pair}} | Doppler",""
"5","sat.rail.uplink.confirmMapping","Confirm {{mapping}} for {{rig}} and Doppler drives its uplink.","","{{mapping}} | {{rig}} | Doppler",""
"5","sat.rail.uplink.switchMapping","Your mapping cannot carry this pass on {{rig}} — switch it to {{pair}} and Doppler drives the uplink.","","{{rig}} | {{pair}} | Doppler",""
"5","sat.rail.uplink.ask","Pick which VFO carries your uplink to have Doppler tune that too.","","Doppler | VFO",""
"5","sat.rail.uplink.yours","The transmit VFO stays yours.","","VFO",""
"5","sat.rail.doppler.turnOn","turn on","","",""
"5","sat.rail.doppler.turnOn.title","Turn Doppler correction back on (the same switch as Settings ▸ Radio ▸ Satellite Doppler)","","Doppler",""
"5","sat.rail.uplink.switch.label","switch mapping","","",""
"5","sat.rail.uplink.confirm.label","confirm uplink","","",""
"5","sat.rail.uplink.switch.title","Switch {{rig}} to {{pair}}. Your mapping cannot carry this pass on this radio — nothing was written to it — and this is the layout Nexus drives here. Nothing changes until you click, and a wrong mapping transmits on your own downlink.","","{{rig}} | {{pair}} | Nexus",""
"5","sat.rail.uplink.confirm.title","Confirm {{pair}} for {{rig}}. Nexus read this from your radio model; nothing reaches your transmit VFO until you confirm it, and a wrong mapping transmits on your own downlink.","","{{pair}} | {{rig}} | Nexus | VFO",""
"5","sat.rail.uplink.confirmMapping.title","Confirm {{mapping}} — your chosen mapping — for {{rig}}. Nothing reaches its transmit VFO until you confirm it for this radio, and a wrong mapping transmits on your own downlink.","","{{mapping}} | {{rig}} | VFO",""
"5","sat.rail.vfoMap.aria","Satellite VFO mapping","","VFO","Short label on: Satellites view. The same English text ""Satellite VFO mapping"" is used by 2 different keys (e.g. settings.satelliteDoppler.vfoMap.aria) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.rail.vfoMap.title","Which VFO carries your uplink — match it to how your radio is wired. A wrong mapping transmits on your own downlink, into the satellite's output passband, on top of everyone else working the bird. Picking one confirms it for the radio Doppler is driving. Every mapping except Uplink only keeps the downlink corrected; Uplink only hands your one VFO to the transmit leg.","","Doppler | VFO",""
"5","sat.rail.elements.current","{{age}} d old — current","","{{age}}",""
"5","sat.rail.elements.stale","{{days}} days old — pointing and Doppler drift","","{{days}} | Doppler",""
"5","sat.rail.elements.refresh","refresh","","","One-word control on: Satellites view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"5","sat.rail.elements.refresh.title","Fetch fresh orbital elements now. This armed pass keeps its frozen set — re-arm to track with the fresh one.","","",""
"5","sat.binding.name","Radio","","","Short label on: Satellites view. The same English text ""Radio"" is used by 2 different keys (e.g. settings.tabs.radio) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.binding.thisRadio","this radio","","","Short label on: Satellites view. The same English text ""this radio"" is used by 2 different keys (e.g. settings.radios.thisRadio) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.binding.legs"," — {{legs}} MHz{{note}}","","{{legs}} | {{note}} | MHz",""
"5","sat.binding.note"," — {{note}}","","{{note}}",""
"5","sat.binding.pegged","🔒 pinned","","",""
"5","sat.binding.unpegged","🔓 pin this radio","","",""
"5","sat.binding.pegged.title","Peg-lock is ON — this bird stays on the active radio; band+mode routing will not hand it to another rig. Click to unlock.","","",""
"5","sat.binding.unpegged.title","Peg-lock is OFF — a pick routes to the radio that owns the band and mode class. Click to pin the active radio instead.","","",""
"5","sat.lockOn.name","Dial","","","Short label on: Satellites view. The same English text ""Dial"" is used by 2 different keys (e.g. link.dial.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.lockOn.state","moved off the transponder? put the radio back on the bird","","",""
"5","sat.lockOn.label","Lock on","","",""
"5","sat.lockOn.title","Re-run your transponder pick — routes, sets the band and mode, writes both legs, and re-centres you in the passband. Use it after moving the dial off the transponder by hand, or when the rig came back somewhere else.","","",""
"5","sat.badge.rotorLost.title","The rotator stopped answering, so this track let it go — point the antenna yourself. The pass clock, the transponder and Doppler carry on to LOS.","","Doppler | LOS",""
"5","sat.badge.passOnly.title","Pass timing only — nothing is driven: no rotor in this track, and Doppler is not driving the dial (correction switched off, no transponder held, or an uplink-only mapping that is not driving this pass). The pass clock and geometry still run.","","Doppler",""
"5","sat.badge.dopplerOnly.title","No rotator in this track — Doppler {{what}}; nothing moves an antenna","","{{what}} | Doppler",""
"5","sat.badge.dopplerOnly.dialNow","is steering the radio dial","","",""
"5","sat.badge.dopplerOnly.dialAtAos","takes the radio dial at AOS","","AOS",""
"5","sat.badge.dopplerOnly.splitNow","is steering the TX (split) VFO — the dial stays yours","","VFO | TX",""
"5","sat.badge.dopplerOnly.splitAtAos","takes the TX (split) VFO at AOS — the dial stays yours","","AOS | VFO | TX",""
"5","sat.badge.rotorWaiting.title","The rotor has NOT been commanded yet — auto-track takes it 5 min before AOS","","AOS",""
"5","sat.badge.rotorDriving.title","Auto-track is driving the rotor — angles shown are what was COMMANDED (rotctld read-back lives on the rotor strip/pane)","","",""
"5","sat.badge.open.title","Open this pass's detail (sky dome, readiness rail) — tracking is not affected","","",""
"5","sat.badge.armed","armed","","","Short label on: Satellites view. The same English text ""armed"" is used by 2 different keys (e.g. sat.rail.pass.armed) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.badge.tracking","tracking","","","One-word control on: Satellites view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"5","sat.badge.mode.rotorLost"," · rotor stopped answering","","",""
"5","sat.badge.mode.dopplerOnly"," · Doppler only","","Doppler",""
"5","sat.badge.mode.passOnly"," · pass timing only","","",""
"5","sat.badge.mode.rotorOnly"," · rotor only","","",""
"5","sat.badge.risesAz","rises az {{az}}°","","{{az}}",""
"5","sat.badge.cmdAz","cmd az {{az}}° {{el}}","","{{az}} | {{el}}",""
"5","sat.badge.azOnly","(az only)","","",""
"5","sat.track.stop","■ stop","","","Short label on: Satellites view. The same English text ""■ stop"" is used by 2 different keys (e.g. map.flare.preview.stop) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.track.stop.rotor.title","Stop auto-tracking (rotor halts)","","",""
"5","sat.track.stop.noRotor.title","Stop this track (no rotor involved; the dial is handed back)","","",""
"5","sat.detail.close.aria","Close this bird's detail","","",""
"5","sat.detail.close.title","Close — a tracked pass keeps tracking; the badge on this bar brings you back","","",""
"5","sat.noGrid","Set your grid square (Settings ▸ Station) first — passes are computed over YOUR location, and without a locator there is nothing honest to show.","","",""
"5","sat.strip.next.label","Next","","","One-word control on: Satellites view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"5","sat.strip.next.why","The two soonest workable passes (10° peak or better), any bird — a pass already in progress leads","","",""
"5","sat.strip.best.label","Best 24 h","","",""
"5","sat.strip.best.why","The two highest-quality passes in the next 24 h — max elevation first, duration breaking ties","","",""
"5","sat.strip.row.title","{{name}} — {{why}}","","{{name}} | {{why}}",""
"5","sat.strip.fav.title","One of your ★ birds","","",""
"5","sat.work.label","▶ Work this pass","","",""
"5","sat.work.title.rotor","Work this pass: opens the bird, picks its transponder, arms rotor auto-track + the pass clock (Doppler tunes when its switches are on)","","Doppler",""
"5","sat.work.title.noRotor","Work this pass: opens the bird, picks its transponder, starts the pass clock + Doppler (no rotator configured — nothing will move)","","Doppler",""
"5","sat.work.short","▶ Work","","","Short label on: Satellites view. The same English text ""▶ Work"" is used by 2 different keys (e.g. chase.row.work.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.schedule.head","Schedule — favorites, next {{hours}} h","","{{hours}}",""
"5","sat.schedule.sortBy","Sort by {{label}}","","{{label}}",""
"5","sat.schedule.column.bird","Bird","","","One-word control on: Satellites view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"5","sat.schedule.column.aos","AOS local","","AOS",""
"5","sat.schedule.column.maxEl","Max el","","",""
"5","sat.schedule.column.dur","Dur","","","Short label on: Satellites view. The same English text ""Dur"" is used by 2 different keys (e.g. prop.openingsLog.column.duration) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.schedule.column.path","Path","","","Short label on: Satellites view. The same English text ""Path"" is used by 4 different keys (e.g. map.path.aria, aprs.beacon.path.label, aprs.card.path.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.schedule.column.status","Status","","","One-word control on: Satellites view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"5","sat.schedule.column.needed","Needed","","","Short label on: Satellites view. The same English text ""Needed"" is used by 4 different keys (e.g. roster.filter.needed, nav.needed.label, features.needed.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"5","sat.schedule.empty.noFavs","No ★ birds yet — star a bird (☆ in the rows below, or in the Birds list) and its passes, alarms and needed-grid chips appear here.","","",""
"5","sat.schedule.empty.noPasses","No upcoming passes for your favorites in the next {{hours}} h{{why}}.","","{{hours}} | {{why}}",""
"5","sat.schedule.empty.noElements"," — waiting for orbital elements (first fetch needs the network once)","","",""
"5","sat.schedule.empty.excluded"," (birds whose elements are older than 30 days are excluded until a refresh)","","",""
"5","sat.schedule.unstar.title","Unstar removes the bird from this schedule and disarms its alarm","","",""
"5","sat.schedule.alive.label","alive","","","One-word control on: Satellites view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"5","sat.schedule.alive.title","SatNOGS community reports it transmitting","","SatNOGS",""
"5","sat.schedule.dead.title","SatNOGS reports it silent/re-entered — geometry still shown, working it is unlikely","","SatNOGS",""
"5","sat.schedule.alarm.on","Alarm armed — click to disarm","","",""
"5","sat.schedule.alarm.off","Wake me before this bird rises (per-bird, survives restarts)","","",""
"5","sat.schedule.alarm.lead.title","Lead time before AOS","","AOS",""
"5","sat.schedule.stop.title","Stop this track","","",""
